interaction_type,degree,change_polarization,change_opinion,x_i_prior,x_i_post,avg_x_j,topic,topic_title,window_start,window_end,degree_bin,degree_bin_label
diff,-0.95,1.0,1.0,-1.0,-2.0,0.05,Politics,Partisan Alignment,0,5,0,More Moderate
diff,0.0,0.0,0.0,1.0,1.0,-1.0,Politics,Partisan Alignment,0,5,1,Same
diff,-0.7,0.0,-0.0,-1.0,-1.0,0.3,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.6111111111111112,-1.0,-1.0,-2.0,-1.0,-0.3888888888888889,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.9,0.0,-0.0,-2.0,-2.0,-0.1,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.5555555555555556,-1.0,-1.0,-2.0,-1.0,0.4444444444444444,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.6470588235294117,0.0,-0.0,-2.0,-2.0,0.35294117647058826,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.31818181818181823,1.0,1.0,1.0,2.0,-0.6818181818181818,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.85,-2.0,-2.0,-2.0,0.0,-0.15,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.0833333333333335,-1.0,-1.0,-2.0,-1.0,0.9166666666666666,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.7222222222222223,0.0,0.0,2.0,2.0,-0.2777777777777778,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.2727272727272727,0.0,0.0,2.0,2.0,-0.7272727272727273,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.875,-1.0,-1.0,-2.0,-1.0,0.125,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.8095238095238095,-1.0,-1.0,-2.0,-1.0,-0.19047619047619047,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.050000000000000044,1.0,1.0,-1.0,-2.0,-0.95,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.47058823529411764,0.0,-0.0,-1.0,-1.0,-0.5294117647058824,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.4444444444444444,0.0,-0.0,-1.0,-1.0,-0.5555555555555556,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.5238095238095238,0.0,-0.0,-1.0,-1.0,-0.47619047619047616,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9565217391304348,-1.0,-1.0,-1.0,0.0,-0.043478260869565216,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.6666666666666667,0.0,0.0,2.0,2.0,0.3333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.6111111111111112,1.0,1.0,1.0,2.0,-0.3888888888888889,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.4,-1.0,-1.0,-2.0,-1.0,0.6,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8888888888888888,0.0,-2.0,-1.0,1.0,-0.1111111111111111,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.375,1.0,1.0,1.0,2.0,-0.625,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8636363636363636,0.0,-0.0,-1.0,-1.0,-0.13636363636363635,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.4545454545454546,0.0,0.0,1.0,1.0,-0.5454545454545454,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8260869565217391,1.0,1.0,-1.0,-2.0,-0.17391304347826086,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.95,0.0,-0.0,-1.0,-1.0,0.05,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.5,0.0,0.0,2.0,2.0,0.5,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.1578947368421053,0.0,0.0,1.0,1.0,-0.8421052631578947,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.65,-1.0,-1.0,-2.0,-1.0,-0.35,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.8095238095238095,-1.0,-1.0,-2.0,-1.0,0.19047619047619047,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8,1.0,1.0,1.0,2.0,0.2,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.85,0.0,0.0,1.0,1.0,0.15,Politics,Partisan Alignment,0,5,0,More Moderate
same,0.050000000000000044,1.0,1.0,1.0,2.0,1.05,Politics,Partisan Alignment,0,5,2,More Radical
same,-1.6666666666666667,0.0,0.0,2.0,2.0,0.3333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.6818181818181819,-2.0,-2.0,-2.0,0.0,0.3181818181818182,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5,0.0,-0.0,-1.0,-1.0,0.5,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.8,0.0,-0.0,-1.0,-1.0,0.2,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.6666666666666667,-1.0,-1.0,-1.0,0.0,-0.3333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.75,0.0,-0.0,-1.0,-1.0,-0.25,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.09999999999999998,-1.0,-1.0,-1.0,0.0,0.9,Politics,Partisan Alignment,0,5,0,More Moderate
same,0.050000000000000044,0.0,-0.0,-1.0,-1.0,-1.05,Politics,Partisan Alignment,0,5,2,More Radical
same,-0.25,1.0,1.0,-1.0,-2.0,-0.75,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.38888888888888884,1.0,1.0,1.0,2.0,-0.6111111111111112,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.6818181818181819,0.0,-0.0,-1.0,-1.0,0.3181818181818182,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.95,1.0,1.0,1.0,2.0,0.05,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5714285714285714,1.0,1.0,1.0,2.0,-0.42857142857142855,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.31818181818181823,1.0,1.0,-1.0,-2.0,-0.6818181818181818,Politics,Partisan Alignment,0,5,0,More Moderate
same,0.4761904761904763,0.0,-0.0,-1.0,-1.0,-1.4761904761904763,Politics,Partisan Alignment,0,5,2,More Radical
same,0.25,1.0,1.0,-1.0,-2.0,-1.25,Politics,Partisan Alignment,0,5,2,More Radical
same,0.16666666666666674,1.0,1.0,-1.0,-2.0,-1.1666666666666667,Politics,Partisan Alignment,0,5,2,More Radical
same,-0.05882352941176472,1.0,1.0,-1.0,-2.0,-0.9411764705882353,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8,1.0,1.0,1.0,2.0,0.2,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.4444444444444444,1.0,1.0,-1.0,-2.0,0.5555555555555556,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.9565217391304348,0.0,0.0,2.0,2.0,-0.043478260869565216,Politics,Partisan Alignment,0,5,0,More Moderate
diff,0.10526315789473695,1.0,1.0,-1.0,-2.0,1.105263157894737,Politics,Partisan Alignment,0,5,2,More Radical
same,-0.4,1.0,1.0,1.0,2.0,0.6,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.0,0.0,0.0,2.0,2.0,1.0,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.4444444444444444,0.0,0.0,2.0,2.0,0.5555555555555556,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9090909090909091,1.0,1.0,-1.0,-2.0,-0.09090909090909091,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.45833333333333337,-1.0,-1.0,-1.0,0.0,0.5416666666666666,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.368421052631579,-2.0,-2.0,-2.0,0.0,-0.631578947368421,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.55,-1.0,-1.0,-2.0,-1.0,-0.45,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.5238095238095237,-1.0,-1.0,-2.0,-1.0,-0.47619047619047616,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.21052631578947367,0.0,0.0,1.0,1.0,-0.7894736842105263,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.9,0.0,-0.0,-1.0,-1.0,0.1,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8636363636363636,1.0,1.0,1.0,2.0,0.13636363636363635,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.9,0.0,-0.0,-1.0,-1.0,0.1,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.35,0.0,0.0,2.0,2.0,-0.65,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.85,-2.0,-2.0,-2.0,0.0,0.15,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.95,-1.0,-1.0,-1.0,0.0,-0.05,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7619047619047619,1.0,1.0,1.0,2.0,0.23809523809523808,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.44,0.0,-0.0,-2.0,-2.0,-0.56,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.21052631578947367,-1.0,-1.0,-1.0,0.0,-0.7894736842105263,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7083333333333333,0.0,-0.0,-1.0,-1.0,-0.2916666666666667,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.565217391304348,0.0,0.0,2.0,2.0,0.43478260869565216,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.45,0.0,0.0,2.0,2.0,0.55,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.7894736842105263,0.0,-0.0,-1.0,-1.0,0.21052631578947367,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.75,1.0,1.0,1.0,2.0,-0.25,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.33333333333333337,1.0,1.0,-1.0,-2.0,-0.6666666666666666,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.17647058823529416,1.0,1.0,-1.0,-2.0,-0.8235294117647058,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.1363636363636362,-1.0,-1.0,-2.0,-1.0,-0.8636363636363636,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.8571428571428572,0.0,-0.0,-1.0,-1.0,0.14285714285714285,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.2857142857142857,1.0,1.0,1.0,2.0,0.7142857142857143,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.75,0.0,0.0,2.0,2.0,-0.25,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.8695652173913044,-1.0,-1.0,-2.0,-1.0,1.1304347826086956,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.65,1.0,1.0,1.0,2.0,0.35,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7619047619047619,1.0,1.0,1.0,2.0,0.23809523809523808,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.55,0.0,0.0,2.0,2.0,0.45,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.75,0.0,0.0,1.0,1.0,0.25,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.6,0.0,-0.0,-1.0,-1.0,-0.4,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.380952380952381,0.0,0.0,2.0,2.0,0.6190476190476191,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.8181818181818181,-2.0,-2.0,-2.0,0.0,-0.18181818181818182,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.36363636363636365,1.0,1.0,-1.0,-2.0,-0.6363636363636364,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.8148148148148149,1.0,1.0,1.0,2.0,-0.18518518518518517,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9,0.0,-0.0,-1.0,-1.0,-0.1,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.5,0.0,-0.0,-1.0,-1.0,-0.5,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.75,0.0,-0.0,-1.0,-1.0,-0.25,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.2,0.0,-0.0,-2.0,-2.0,-0.8,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.23529411764705888,1.0,1.0,-1.0,-2.0,-0.7647058823529411,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.55,-1.0,-1.0,-2.0,-1.0,-0.45,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.9090909090909092,0.0,0.0,2.0,2.0,-1.0909090909090908,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.16666666666666663,0.0,-0.0,-1.0,-1.0,0.8333333333333334,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.6086956521739131,1.0,1.0,1.0,2.0,-0.391304347826087,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.1923076923076923,1.0,1.0,1.0,2.0,0.8076923076923077,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.55,0.0,0.0,2.0,2.0,0.45,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.4,0.0,-0.0,-1.0,-1.0,0.6,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.8,0.0,0.0,2.0,2.0,0.2,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.631578947368421,0.0,0.0,2.0,2.0,-0.3684210526315789,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.2105263157894737,-1.0,-1.0,-2.0,-1.0,0.7894736842105263,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.75,1.0,1.0,1.0,2.0,-0.25,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.6,0.0,-0.0,-1.0,-1.0,0.4,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9,1.0,1.0,1.0,2.0,0.1,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.3157894736842105,1.0,1.0,-1.0,-2.0,0.6842105263157895,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.17391304347826086,1.0,1.0,1.0,2.0,0.8260869565217391,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.30000000000000004,1.0,1.0,-1.0,-2.0,-0.7,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8421052631578947,1.0,1.0,1.0,2.0,0.15789473684210525,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.5652173913043479,1.0,1.0,1.0,2.0,0.43478260869565216,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.9444444444444444,0.0,-0.0,-1.0,-1.0,0.05555555555555555,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.42105263157894735,1.0,1.0,-1.0,-2.0,-0.5789473684210527,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.95,0.0,-0.0,-1.0,-1.0,-0.05,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.7894736842105263,0.0,0.0,1.0,1.0,-0.21052631578947367,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7,-1.0,-1.0,1.0,0.0,0.3,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.40909090909090906,1.0,1.0,-1.0,-2.0,-0.5909090909090909,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.5,1.0,1.0,-1.0,-2.0,-0.5,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.5882352941176472,0.0,-0.0,-2.0,-2.0,-0.4117647058823529,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.4,0.0,-0.0,-1.0,-1.0,-0.6,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.9,0.0,-0.0,-1.0,-1.0,0.1,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.3888888888888888,0.0,0.0,2.0,2.0,0.6111111111111112,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.6666666666666667,-1.0,-1.0,-1.0,0.0,-0.3333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.2941176470588236,0.0,-0.0,-2.0,-2.0,1.7058823529411764,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.95,0.0,0.0,2.0,2.0,1.05,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.4,1.0,1.0,1.0,2.0,0.6,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8571428571428572,0.0,0.0,2.0,2.0,1.1428571428571428,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.5294117647058824,1.0,1.0,1.0,2.0,0.47058823529411764,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.21052631578947367,0.0,-0.0,-1.0,-1.0,0.7894736842105263,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.9047619047619047,0.0,0.0,2.0,2.0,-0.09523809523809523,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.65,1.0,1.0,1.0,2.0,0.35,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.473684210526316,0.0,-0.0,-2.0,-2.0,-0.5263157894736842,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.3913043478260869,0.0,-0.0,-1.0,-1.0,-0.6086956521739131,Politics,Partisan Alignment,0,5,0,More Moderate
diff,0.6666666666666667,1.0,1.0,1.0,2.0,-1.6666666666666667,Politics,Partisan Alignment,0,5,2,More Radical
same,-1.0952380952380953,0.0,-0.0,-2.0,-2.0,-0.9047619047619048,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.4117647058823528,-1.0,-1.0,-2.0,-1.0,-0.5882352941176471,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.13636363636363635,-1.0,-1.0,-1.0,0.0,-0.8636363636363636,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.6666666666666667,1.0,1.0,1.0,2.0,-0.3333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.5,1.0,1.0,1.0,2.0,0.5,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.3529411764705882,1.0,1.0,1.0,2.0,0.6470588235294118,Politics,Partisan Alignment,0,5,0,More Moderate
diff,0.38888888888888884,1.0,1.0,-1.0,-2.0,1.3888888888888888,Politics,Partisan Alignment,0,5,2,More Radical
same,-1.6666666666666667,0.0,0.0,2.0,2.0,0.3333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.23076923076923073,1.0,1.0,-1.0,-2.0,0.7692307692307693,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5,1.0,1.0,1.0,2.0,-0.5,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7894736842105263,0.0,-0.0,-1.0,-1.0,-0.21052631578947367,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.45,-1.0,-1.0,-2.0,-1.0,-0.55,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.38095238095238093,0.0,-0.0,-1.0,-1.0,-0.6190476190476191,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.75,0.0,-0.0,-1.0,-1.0,-0.25,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.5238095238095237,0.0,0.0,2.0,2.0,0.47619047619047616,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5882352941176471,0.0,-0.0,-1.0,-1.0,0.4117647058823529,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.6521739130434783,1.0,1.0,1.0,2.0,0.34782608695652173,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.47619047619047616,0.0,-0.0,-1.0,-1.0,0.5238095238095238,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9032258064516129,0.0,-0.0,-1.0,-1.0,-0.0967741935483871,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7777777777777778,1.0,1.0,-1.0,-2.0,-0.2222222222222222,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5,1.0,1.0,-1.0,-2.0,0.5,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.625,0.0,0.0,1.0,1.0,-0.375,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.6,1.0,1.0,1.0,2.0,-0.4,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.5454545454545454,0.0,0.0,2.0,2.0,0.45454545454545453,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.75,-1.0,-1.0,-1.0,0.0,0.25,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9,1.0,1.0,-1.0,-2.0,-0.1,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.7894736842105263,0.0,0.0,2.0,2.0,0.21052631578947367,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.11764705882352944,0.0,-0.0,-1.0,-1.0,0.8823529411764706,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.04761904761904767,1.0,1.0,1.0,2.0,0.9523809523809523,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.4210526315789473,0.0,0.0,2.0,2.0,0.5789473684210527,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.050000000000000044,1.0,1.0,1.0,2.0,0.95,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.09999999999999998,1.0,1.0,-1.0,-2.0,0.9,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.7619047619047619,0.0,-0.0,-1.0,-1.0,0.23809523809523808,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.6818181818181819,1.0,1.0,1.0,2.0,0.3181818181818182,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.05,0.0,0.0,2.0,2.0,0.95,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.565217391304348,0.0,0.0,2.0,2.0,0.43478260869565216,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.8333333333333333,-1.0,-1.0,2.0,1.0,0.16666666666666666,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.30000000000000004,-1.0,-1.0,-1.0,0.0,0.7,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.1904761904761905,-1.0,-1.0,-2.0,-1.0,0.8095238095238095,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.8571428571428572,0.0,0.0,2.0,2.0,-0.14285714285714285,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.6363636363636364,1.0,1.0,1.0,2.0,0.36363636363636365,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.4285714285714286,-1.0,-1.0,-2.0,-1.0,1.5714285714285714,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.09999999999999998,1.0,1.0,1.0,2.0,0.9,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7142857142857142,0.0,0.0,2.0,2.0,1.2857142857142858,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9523809523809523,0.0,0.0,2.0,2.0,1.0476190476190477,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.85,0.0,0.0,2.0,2.0,0.15,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.11111111111111116,-1.0,-1.0,-1.0,0.0,0.8888888888888888,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.8235294117647058,0.0,0.0,2.0,2.0,-0.17647058823529413,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7142857142857143,1.0,1.0,-1.0,-2.0,-0.2857142857142857,Politics,Partisan Alignment,0,5,0,More Moderate
same,-1.9,-1.0,-1.0,-2.0,-1.0,-0.1,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7,0.0,-0.0,-1.0,-1.0,-0.3,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.5909090909090908,0.0,-0.0,-1.0,-1.0,-0.4090909090909091,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.9,1.0,1.0,1.0,2.0,0.1,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.9545454545454546,0.0,-0.0,-2.0,-2.0,0.045454545454545456,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8823529411764706,1.0,1.0,1.0,2.0,0.11764705882352941,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5789473684210527,1.0,1.0,1.0,2.0,-0.42105263157894735,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.8235294117647058,1.0,1.0,-1.0,-2.0,0.17647058823529413,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.6666666666666667,1.0,1.0,-1.0,-2.0,-0.3333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
diff,0.4285714285714286,1.0,1.0,-1.0,-2.0,1.4285714285714286,Politics,Partisan Alignment,0,5,2,More Radical
diff,-0.7058823529411764,0.0,-0.0,-1.0,-1.0,0.29411764705882354,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.85,1.0,1.0,1.0,2.0,-0.15,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.31818181818181823,0.0,-0.0,-1.0,-1.0,-0.6818181818181818,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.92,0.0,-0.0,-1.0,-1.0,-0.08,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7,0.0,-0.0,-1.0,-1.0,-0.3,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8999999999999999,-1.0,-1.0,2.0,1.0,1.1,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5714285714285714,1.0,1.0,1.0,2.0,-0.42857142857142855,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.85,0.0,-0.0,-1.0,-1.0,-0.15,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.4210526315789473,0.0,-0.0,-2.0,-2.0,0.5789473684210527,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.4,1.0,1.0,1.0,2.0,0.6,Politics,Partisan Alignment,0,5,0,More Moderate
